index,french,english,audio,Semantic Domain,Bloom's Category,Aspectual Class
1050,accommoder,to adapt/suit,french_audio/accommoder.mp3,Creation/Change,Application,Achievement
1051,associer,to associate,french_audio/associer.mp3,Cognition,Analysis,Achievement
1052,infliger,to inflict,french_audio/infliger.mp3,Activity/Social,Application,Achievement
1053,recroqueviller,to curl up,french_audio/recroqueviller.mp3,Motion/Space,Knowledge,Achievement
1054,rasseoir,to sit back down,french_audio/rasseoir.mp3,Motion/Space,Application,Achievement
1055,affaler,to slump,french_audio/affaler.mp3,Motion/Space,Knowledge,Achievement
1056,durcir,to harden,french_audio/durcir.mp3,Creation/Change,Knowledge,Accomplishment
1057,paralyser,to paralyze,french_audio/paralyser.mp3,Existence/State,Knowledge,Achievement
1058,hérisser,to bristle,french_audio/hérisser.mp3,Bodily Function,Knowledge,Achievement
1059,flamber,to blaze/flambé,french_audio/flamber.mp3,Creation/Change,Application,Achievement
1060,inspecter,to inspect,french_audio/inspecter.mp3,Perception,Analysis,Activity
1061,balbutier,to stammer,french_audio/balbutier.mp3,Communication,Application,Activity
1062,grommeler,to grumble,french_audio/grommeler.mp3,Communication,Application,Activity
1063,embarrasser,to embarrass,french_audio/embarrasser.mp3,Emotion/Affect,Knowledge,Achievement
1064,renier,to disown/deny,french_audio/renier.mp3,Communication,Evaluation,Achievement
1065,camper,to camp,french_audio/camper.mp3,Activity/Social,Application,Activity
1066,chialer,to blubber (slang),french_audio/chialer.mp3,Bodily Function,Knowledge,Activity
1067,exalter,to exalt,french_audio/exalter.mp3,Communication,Evaluation,Achievement
1068,rallier,to rally/join,french_audio/rallier.mp3,Activity/Social,Application,Achievement
1069,assombrir,to darken,french_audio/assombrir.mp3,Creation/Change,Knowledge,Achievement
1070,manoeuvrer,to maneuver,french_audio/manoeuvrer.mp3,Motion/Space,Application,Activity
1071,tressaillir,to shudder/quiver,french_audio/tressaillir.mp3,Bodily Function,Knowledge,Achievement
1072,sculpter,to sculpt,french_audio/sculpter.mp3,Creation/Change,Synthesis,Accomplishment
1073,photographier,to photograph,french_audio/photographier.mp3,Creation/Change,Application,Achievement
1074,filtrer,to filter,french_audio/filtrer.mp3,Physical Contact,Analysis,Activity
1075,bouillir,to boil,french_audio/bouillir.mp3,Creation/Change,Knowledge,Activity
1076,balader,to stroll/walk,french_audio/balader.mp3,Motion/Space,Application,Activity
1077,élire,to elect,french_audio/élire.mp3,Activity/Social,Evaluation,Achievement
1078,faucher,to mow/reap,french_audio/faucher.mp3,Physical Contact,Application,Achievement
1079,marmonner,to mumble,french_audio/marmonner.mp3,Communication,Application,Activity
1080,cultiver,to cultivate,french_audio/cultiver.mp3,Creation/Change,Application,Activity
1081,éparpiller,to scatter,french_audio/éparpiller.mp3,Motion/Space,Application,Achievement
1082,cramponner,to cling,french_audio/cramponner.mp3,Physical Contact,Application,Activity
1083,relâcher,to release,french_audio/relâcher.mp3,Physical Contact,Application,Achievement
1084,tolérer,to tolerate,french_audio/tolérer.mp3,Emotion/Affect,Evaluation,State
1085,affairer,to be busy,french_audio/affairer.mp3,Activity/Social,Application,Activity
1086,bredouiller,to mumble/sputter,french_audio/bredouiller.mp3,Communication,Application,Activity
1087,évader,to escape,french_audio/évader.mp3,Motion/Space,Knowledge,Achievement
1088,tituber,to stagger,french_audio/tituber.mp3,Motion/Space,Knowledge,Activity
1089,grouper,to group,french_audio/grouper.mp3,Cognition,Analysis,Achievement
1090,exhiber,to exhibit,french_audio/exhiber.mp3,Communication,Application,Activity
1091,contrarier,to thwart/annoy,french_audio/contrarier.mp3,Emotion/Affect,Application,Achievement
1092,galoper,to gallop,french_audio/galoper.mp3,Motion/Space,Application,Activity
1093,extraire,to extract,french_audio/extraire.mp3,Physical Contact,Analysis,Achievement
1094,honorer,to honor,french_audio/honorer.mp3,Activity/Social,Evaluation,State
1095,borner,to limit/bound,french_audio/borner.mp3,Existence/State,Analysis,State
1096,mouvoir,to move,french_audio/mouvoir.mp3,Motion/Space,Knowledge,Activity
1097,déchaîner,to unleash,french_audio/déchaîner.mp3,Creation/Change,Application,Achievement
1098,douer,to endow,french_audio/douer.mp3,Possession,Knowledge,State
1099,conférer,to confer,french_audio/conférer.mp3,Communication,Application,Achievement
1100,éclaircir,to brighten/clear up,french_audio/éclaircir.mp3,Perception,Analysis,Achievement
1101,osciller,to oscillate,french_audio/osciller.mp3,Motion/Space,Knowledge,Activity
1102,freiner,to brake/slow down,french_audio/freiner.mp3,Motion/Space,Application,Achievement
1103,tricoter,to knit,french_audio/tricoter.mp3,Creation/Change,Synthesis,Accomplishment
1104,renaître,to be reborn,french_audio/renaître.mp3,Existence/State,Knowledge,Achievement
1105,palper,to feel/palpate,french_audio/palper.mp3,Perception,Analysis,Activity
1106,percher,to perch,french_audio/percher.mp3,Motion/Space,Knowledge,Achievement
1107,dévoiler,to unveil,french_audio/dévoiler.mp3,Communication,Analysis,Achievement
1108,articuler,to articulate,french_audio/articuler.mp3,Communication,Application,Activity
1109,engueuler,to scold (slang),french_audio/engueuler.mp3,Communication,Application,Activity
1110,accéder,to access,french_audio/accéder.mp3,Motion/Space,Knowledge,Achievement
1111,alerter,to alert,french_audio/alerter.mp3,Communication,Application,Achievement
1112,empresser,to hurry,french_audio/empresser.mp3,Motion/Space,Application,Achievement
1113,submerger,to submerge/swamp,french_audio/submerger.mp3,Physical Contact,Knowledge,Achievement
1114,racheter,to buy back/redeem,french_audio/racheter.mp3,Possession,Application,Achievement
1115,hériter,to inherit,french_audio/hériter.mp3,Possession,Knowledge,Achievement
1116,broncher,to flinch/stumble,french_audio/broncher.mp3,Bodily Function,Knowledge,Achievement
1117,masser,to massage,french_audio/masser.mp3,Physical Contact,Application,Activity
1118,vaciller,to flicker/wobble,french_audio/vaciller.mp3,Motion/Space,Knowledge,Activity
1119,pêcher,to fish,french_audio/pêcher.mp3,Activity/Social,Application,Activity
1120,blottir,to snuggle,french_audio/blottir.mp3,Motion/Space,Knowledge,Achievement
1121,chevaucher,to ride/overlap,french_audio/chevaucher.mp3,Motion/Space,Application,Activity
1122,griller,to grill/toast,french_audio/griller.mp3,Creation/Change,Application,Accomplishment
1123,classer,to classify,french_audio/classer.mp3,Cognition,Analysis,Achievement
1124,plaider,to plead,french_audio/plaider.mp3,Communication,Application,Activity
1125,anéantir,to annihilate,french_audio/anéantir.mp3,Creation/Change,Analysis,Achievement
1126,atténuer,to mitigate/soften,french_audio/atténuer.mp3,Creation/Change,Analysis,Achievement
1127,trébucher,to trip/stumble,french_audio/trébucher.mp3,Motion/Space,Knowledge,Achievement
1128,croquer,to crunch/sketch,french_audio/croquer.mp3,Perception,Application,Achievement
1129,interpréter,to interpret,french_audio/interpréter.mp3,Cognition,Analysis,Activity
1130,faciliter,to facilitate,french_audio/faciliter.mp3,Activity/Social,Application,Achievement
1131,farcir,to stuff (cooking),french_audio/farcir.mp3,Creation/Change,Application,Accomplishment
1132,aventurer,to venture,french_audio/aventurer.mp3,Activity/Social,Application,Activity
1133,adapter,to adapt,french_audio/adapter.mp3,Cognition,Analysis,Achievement
1134,aménager,to arrange/convert,french_audio/aménager.mp3,Creation/Change,Application,Accomplishment
1135,froisser,to crumple,french_audio/froisser.mp3,Physical Contact,Application,Achievement
1136,racler,to scrape,french_audio/racler.mp3,Physical Contact,Application,Activity
1137,dégringoler,to tumble down,french_audio/dégringoler.mp3,Motion/Space,Knowledge,Achievement
1138,acquiescer,to nod/agree,french_audio/acquiescer.mp3,Communication,Evaluation,Achievement
1139,déformer,to deform,french_audio/déformer.mp3,Creation/Change,Analysis,Achievement
1140,baver,to drool,french_audio/baver.mp3,Bodily Function,Knowledge,Activity
1141,grimacer,to grimace,french_audio/grimacer.mp3,Bodily Function,Application,Activity
1142,charrier,to carry/tease,french_audio/charrier.mp3,Communication,Application,Activity
1143,peiner,to struggle/grieve,french_audio/peiner.mp3,Emotion/Affect,Knowledge,Activity
1144,scintiller,to sparkle,french_audio/scintiller.mp3,Perception,Knowledge,State
1145,mâcher,to chew,french_audio/mâcher.mp3,Bodily Function,Application,Activity
1146,prescrire,to prescribe,french_audio/prescrire.mp3,Communication,Application,Achievement
1147,dissoudre,to dissolve,french_audio/dissoudre.mp3,Creation/Change,Analysis,Achievement
1148,dicter,to dictate,french_audio/dicter.mp3,Communication,Application,Activity
1149,contracter,to contract,french_audio/contracter.mp3,Physical Contact,Analysis,Achievement
1150,dénouer,to untie,french_audio/dénouer.mp3,Physical Contact,Application,Achievement
1151,défier,to defy/challenge,french_audio/défier.mp3,Communication,Evaluation,Activity
1152,réapparaître,to reappear,french_audio/réapparaître.mp3,Existence/State,Knowledge,Achievement
1153,blanchir,to whiten,french_audio/blanchir.mp3,Creation/Change,Knowledge,Accomplishment
1154,repenser,to rethink,french_audio/repenser.mp3,Cognition,Analysis,Activity
1155,impliquer,to involve,french_audio/impliquer.mp3,Activity/Social,Analysis,State
1156,refiler,to pass on (slang),french_audio/refiler.mp3,Possession,Application,Achievement
1157,déverser,to discharge/pour out,french_audio/déverser.mp3,Motion/Space,Application,Achievement
1158,démontrer,to demonstrate,french_audio/démontrer.mp3,Communication,Application,Activity
1159,ruiner,to ruin,french_audio/ruiner.mp3,Creation/Change,Analysis,Achievement
1160,onduler,to wave/ripple,french_audio/onduler.mp3,Motion/Space,Knowledge,Activity
1161,rattacher,to reattach,french_audio/rattacher.mp3,Physical Contact,Application,Achievement
1162,couver,to brood/hatch,french_audio/couver.mp3,Bodily Function,Knowledge,Activity
1163,explorer,to explore,french_audio/explorer.mp3,Cognition,Analysis,Activity
1164,instruire,to instruct,french_audio/instruire.mp3,Communication,Application,Activity
1165,déguster,to taste/sample,french_audio/déguster.mp3,Perception,Evaluation,Activity
1166,édifier,to build/edify,french_audio/édifier.mp3,Creation/Change,Synthesis,Accomplishment
1167,déterminer,to determine,french_audio/déterminer.mp3,Cognition,Analysis,Achievement
1168,piger,to get/understand (slang),french_audio/piger.mp3,Cognition,Comprehension,Achievement
1169,orienter,to direct/orient,french_audio/orienter.mp3,Motion/Space,Application,Achievement
1170,amorcer,to prime/start,french_audio/amorcer.mp3,Aspectual,Knowledge,Achievement
1171,décharger,to unload,french_audio/décharger.mp3,Motion/Space,Application,Achievement
1172,aboyer,to bark,french_audio/aboyer.mp3,Communication,Knowledge,Activity
1173,tapir,to crouch/lurk,french_audio/tapir.mp3,Motion/Space,Knowledge,Achievement
1174,solliciter,to request/solicit,french_audio/solliciter.mp3,Communication,Application,Activity
1175,forger,to forge,french_audio/forger.mp3,Creation/Change,Synthesis,Accomplishment
1176,suffoquer,to suffocate,french_audio/suffoquer.mp3,Bodily Function,Knowledge,Achievement
1177,régaler,to treat/feast,french_audio/régaler.mp3,Activity/Social,Application,Achievement
1178,enrichir,to enrich,french_audio/enrichir.mp3,Creation/Change,Analysis,Achievement
1179,vexer,to offend/vex,french_audio/vexer.mp3,Emotion/Affect,Knowledge,Achievement
1180,trouer,to make a hole,french_audio/trouer.mp3,Physical Contact,Application,Achievement
1181,tinter,to jingle/tinkle,french_audio/tinter.mp3,Perception,Knowledge,Activity
1182,haleter,to pant/gasp,french_audio/haleter.mp3,Bodily Function,Knowledge,Activity
1183,évoluer,to evolve,french_audio/évoluer.mp3,Existence/State,Knowledge,Activity
1184,entraver,to hinder,french_audio/entraver.mp3,Activity/Social,Application,State
1185,qualifier,to qualify,french_audio/qualifier.mp3,Communication,Evaluation,Achievement
1186,illustrer,to illustrate,french_audio/illustrer.mp3,Communication,Synthesis,Activity
1187,frayer,to clear a path,french_audio/frayer.mp3,Motion/Space,Application,Achievement
1188,redonner,to give back,french_audio/redonner.mp3,Possession,Application,Achievement
1189,crisser,to screech/crunch,french_audio/crisser.mp3,Perception,Knowledge,Activity
1190,prodiguer,to lavish/give freely,french_audio/prodiguer.mp3,Possession,Application,Activity
1191,affranchir,to stamp/free,french_audio/affranchir.mp3,Activity/Social,Application,Achievement
1192,dériver,to drift/derive,french_audio/dériver.mp3,Existence/State,Analysis,State
1193,naviguer,to navigate,french_audio/naviguer.mp3,Motion/Space,Application,Activity
1194,lisser,to smooth,french_audio/lisser.mp3,Physical Contact,Application,Activity
1195,consommer,to consume,french_audio/consommer.mp3,Bodily Function,Application,Accomplishment
1196,suicider,to commit suicide,french_audio/suicider.mp3,Bodily Function,Knowledge,Achievement
1197,décliner,to decline,french_audio/décliner.mp3,Existence/State,Analysis,Achievement
1198,déferler,to unfurl/sweep,french_audio/déferler.mp3,Motion/Space,Knowledge,Activity
1199,déserter,to desert,french_audio/déserter.mp3,Motion/Space,Knowledge,Achievement
1200,nuire,to harm,french_audio/nuire.mp3,Activity/Social,Evaluation,State
1201,rayer,to scratch/cross out,french_audio/rayer.mp3,Physical Contact,Application,Achievement
1202,démolir,to demolish,french_audio/démolir.mp3,Creation/Change,Analysis,Achievement
1203,affaisser,to sag/collapse,french_audio/affaisser.mp3,Existence/State,Knowledge,Achievement
1204,tisser,to weave,french_audio/tisser.mp3,Creation/Change,Synthesis,Accomplishment
1205,exploiter,to exploit,french_audio/exploiter.mp3,Activity/Social,Analysis,Activity
1206,rincer,to rinse,french_audio/rincer.mp3,Physical Contact,Application,Activity
1207,dispenser,to dispense/exempt,french_audio/dispenser.mp3,Communication,Application,Achievement
1208,accroître,to increase,french_audio/accroître.mp3,Existence/State,Knowledge,Activity
1209,déceler,to detect,french_audio/déceler.mp3,Perception,Analysis,Achievement
1210,ronronner,to purr,french_audio/ronronner.mp3,Communication,Knowledge,Activity
1211,replonger,to dive back,french_audio/replonger.mp3,Motion/Space,Knowledge,Achievement
1212,réprimer,to repress,french_audio/réprimer.mp3,Activity/Social,Application,Achievement
1213,resserrer,to tighten,french_audio/resserrer.mp3,Physical Contact,Application,Achievement
1214,adoucir,to soften,french_audio/adoucir.mp3,Creation/Change,Application,Achievement
1215,redoubler,to redouble,french_audio/redoubler.mp3,Aspectual,Knowledge,Activity
1216,polir,to polish,french_audio/polir.mp3,Physical Contact,Application,Accomplishment
1217,pétrir,to knead,french_audio/pétrir.mp3,Physical Contact,Application,Activity
1218,assoupir,to doze off,french_audio/assoupir.mp3,Bodily Function,Knowledge,Achievement
1219,invoquer,to invoke,french_audio/invoquer.mp3,Communication,Application,Achievement
1220,enfler,to swell,french_audio/enfler.mp3,Bodily Function,Knowledge,Activity
1221,bosser,to work (slang),french_audio/bosser.mp3,Activity/Social,Application,Activity
1222,tapisser,to wallpaper/carpet,french_audio/tapisser.mp3,Creation/Change,Application,Accomplishment
1223,déconner,to mess around (slang),french_audio/déconner.mp3,Activity/Social,Application,Activity
1224,desserrer,to loosen,french_audio/desserrer.mp3,Physical Contact,Application,Achievement
1225,river,to rivet/fix,french_audio/river.mp3,Physical Contact,Application,Achievement
1226,siffloter,to whistle (lightly),french_audio/siffloter.mp3,Communication,Application,Activity
1227,révolter,to revolt,french_audio/révolter.mp3,Activity/Social,Evaluation,Achievement
1228,exhaler,to exhale/give off,french_audio/exhaler.mp3,Bodily Function,Knowledge,Activity
1229,négocier,to negotiate,french_audio/négocier.mp3,Communication,Analysis,Activity
1230,étinceler,to sparkle,french_audio/étinceler.mp3,Perception,Knowledge,State
1231,transpirer,to sweat,french_audio/transpirer.mp3,Bodily Function,Knowledge,Activity
1232,décréter,to decree,french_audio/décréter.mp3,Communication,Application,Achievement
1233,liquider,to liquidate,french_audio/liquider.mp3,Possession,Application,Achievement
1234,rebondir,to rebound,french_audio/rebondir.mp3,Motion/Space,Knowledge,Achievement
1235,rectifier,to rectify,french_audio/rectifier.mp3,Cognition,Evaluation,Achievement
1236,enflammer,to ignite/inflame,french_audio/enflammer.mp3,Creation/Change,Knowledge,Achievement
1237,présider,to preside,french_audio/présider.mp3,Activity/Social,Application,Activity
1238,détenir,to hold/detain,french_audio/détenir.mp3,Possession,Knowledge,State
1239,réconcilier,to reconcile,french_audio/réconcilier.mp3,Activity/Social,Application,Achievement
1240,jucher,to perch,french_audio/jucher.mp3,Motion/Space,Knowledge,Achievement
1241,arborer,to sport/display,french_audio/arborer.mp3,Communication,Application,Activity
1242,remporter,to win/carry off,french_audio/remporter.mp3,Possession,Application,Achievement
1243,meubler,to furnish,french_audio/meubler.mp3,Creation/Change,Application,Accomplishment
1244,favoriser,to favor,french_audio/favoriser.mp3,Activity/Social,Evaluation,State
1245,aggraver,to aggravate/worsen,french_audio/aggraver.mp3,Existence/State,Knowledge,Achievement
1246,apprivoiser,to tame,french_audio/apprivoiser.mp3,Activity/Social,Application,Accomplishment
1247,assaillir,to assail/beset,french_audio/assaillir.mp3,Activity/Social,Application,Achievement
1248,impatienter,to grow impatient,french_audio/impatienter.mp3,Emotion/Affect,Knowledge,Activity
1249,tâtonner,to grope/fumble,french_audio/tâtonner.mp3,Perception,Analysis,Activity
1250,dédaigner,to disdain,french_audio/dédaigner.mp3,Emotion/Affect,Evaluation,State
1251,inciter,to incite,french_audio/inciter.mp3,Communication,Application,Achievement
1252,miner,to undermine/mine,french_audio/miner.mp3,Physical Contact,Analysis,Activity
1253,engendrer,to generate/beget,french_audio/engendrer.mp3,Creation/Change,Analysis,Accomplishment
1254,somnoler,to doze,french_audio/somnoler.mp3,Bodily Function,Knowledge,Activity
1255,poster,to post,french_audio/poster.mp3,Communication,Application,Achievement
1256,maudire,to curse,french_audio/maudire.mp3,Communication,Evaluation,Achievement
1257,noircir,to blacken,french_audio/noircir.mp3,Creation/Change,Knowledge,Achievement
1258,palpiter,to throb/palpitate,french_audio/palpiter.mp3,Bodily Function,Knowledge,Activity
1259,ajuster,to adjust,french_audio/ajuster.mp3,Creation/Change,Application,Achievement
1260,râler,to grumble (slang),french_audio/râler.mp3,Communication,Application,Activity
1261,marteler,to hammer,french_audio/marteler.mp3,Physical Contact,Application,Activity
1262,rafraîchir,to refresh,french_audio/rafraîchir.mp3,Creation/Change,Application,Achievement
1263,convertir,to convert,french_audio/convertir.mp3,Creation/Change,Analysis,Achievement
1264,croître,to grow,french_audio/croître.mp3,Existence/State,Knowledge,Activity
1265,engourdir,to numb,french_audio/engourdir.mp3,Bodily Function,Knowledge,Achievement
1266,déménager,to move house,french_audio/déménager.mp3,Motion/Space,Application,Accomplishment
1267,répugner,to be repugnant to,french_audio/répugner.mp3,Emotion/Affect,Evaluation,State
1268,suer,to sweat,french_audio/suer.mp3,Bodily Function,Knowledge,Activity
1269,rayonner,to radiate,french_audio/rayonner.mp3,Perception,Knowledge,Activity
1270,périr,to perish,french_audio/périr.mp3,Existence/State,Knowledge,Achievement
1271,emprisonner,to imprison,french_audio/emprisonner.mp3,Activity/Social,Application,Achievement
1272,grignoter,to nibble,french_audio/grignoter.mp3,Bodily Function,Application,Activity
1273,grelotter,to shiver/quake,french_audio/grelotter.mp3,Bodily Function,Knowledge,Activity
1274,saurer,to smoke (fish),french_audio/saurer.mp3,Creation/Change,Application,Accomplishment
1275,encaisser,to cash in/endure(slang),french_audio/encaisser.mp3,Possession,Application,Achievement
1276,raisonner,to reason,french_audio/raisonner.mp3,Cognition,Analysis,Activity
1277,trotter,to trot,french_audio/trotter.mp3,Motion/Space,Application,Activity
1278,vautrer,to wallow,french_audio/vautrer.mp3,Motion/Space,Knowledge,Achievement
1279,parfumer,to perfume,french_audio/parfumer.mp3,Perception,Application,Accomplishment
1280,griser,to intoxicate,french_audio/griser.mp3,Emotion/Affect,Knowledge,Achievement
1281,confesser,to confess,french_audio/confesser.mp3,Communication,Application,Achievement
1282,crépiter,to crackle,french_audio/crépiter.mp3,Perception,Knowledge,Activity
1283,redire,to say again,french_audio/redire.mp3,Communication,Knowledge,Activity
1284,diffuser,to broadcast/diffuse,french_audio/diffuser.mp3,Communication,Application,Activity
1285,éponger,to sponge up,french_audio/éponger.mp3,Physical Contact,Application,Activity
1286,trôner,to sit on a throne,french_audio/trôner.mp3,Existence/State,Knowledge,State
1287,teinter,to tint/tinge,french_audio/teinter.mp3,Creation/Change,Application,Achievement
1288,brosser,to brush,french_audio/brosser.mp3,Physical Contact,Application,Activity
1289,fuser,to gush/burst out,french_audio/fuser.mp3,Motion/Space,Knowledge,Activity
1290,éclipser,to eclipse,french_audio/éclipser.mp3,Perception,Analysis,Achievement
1291,différer,to differ/defer,french_audio/différer.mp3,Existence/State,Analysis,State
1292,extirper,to extirpate/uproot,french_audio/extirper.mp3,Physical Contact,Analysis,Achievement
1293,tutoyer,to use 'tu',french_audio/tutoyer.mp3,Communication,Application,Activity
1294,confectionner,to make/prepare,french_audio/confectionner.mp3,Creation/Change,Synthesis,Accomplishment
1295,choir,to fall,french_audio/choir.mp3,Motion/Space,Knowledge,Achievement
1296,consumer,to consume/burn,french_audio/consumer.mp3,Creation/Change,Knowledge,Accomplishment
1297,branler,to shake/masturbate (slang),french_audio/branler.mp3,Physical Contact,Application,Activity
1298,répartir,to distribute,french_audio/répartir.mp3,Possession,Analysis,Achievement
1299,émaner,to emanate,french_audio/émaner.mp3,Existence/State,Analysis,State
1300,mimer,to mime,french_audio/mimer.mp3,Communication,Application,Activity
1301,scier,to saw,french_audio/scier.mp3,Physical Contact,Application,Activity
1302,évacuer,to evacuate,french_audio/évacuer.mp3,Motion/Space,Knowledge,Achievement
1303,excéder,to exceed/infuriate,french_audio/excéder.mp3,Existence/State,Analysis,Achievement
1304,éclabousser,to splash,french_audio/éclabousser.mp3,Physical Contact,Knowledge,Achievement
1305,astiquer,to polish/shine,french_audio/astiquer.mp3,Physical Contact,Application,Activity
1306,évaluer,to evaluate,french_audio/évaluer.mp3,Cognition,Evaluation,Activity
1307,insinuer,to insinuate,french_audio/insinuer.mp3,Communication,Analysis,Activity
1308,tricher,to cheat,french_audio/tricher.mp3,Activity/Social,Application,Activity
1309,écoeurer,to nauseate,french_audio/écoeurer.mp3,Emotion/Affect,Knowledge,Achievement
1310,fredonner,to hum,french_audio/fredonner.mp3,Communication,Application,Activity
1311,tortiller,to twist/wriggle,french_audio/tortiller.mp3,Motion/Space,Knowledge,Activity
1312,bénéficier,to benefit,french_audio/bénéficier.mp3,Activity/Social,Analysis,State
1313,succomber,to succumb,french_audio/succomber.mp3,Existence/State,Knowledge,Achievement
1314,égorger,to slit the throat,french_audio/égorger.mp3,Physical Contact,Application,Achievement
1315,capter,to capture/get,french_audio/capter.mp3,Perception,Knowledge,Achievement
1316,fouler,to trample/sprain,french_audio/fouler.mp3,Physical Contact,Application,Achievement
1317,épaissir,to thicken,french_audio/épaissir.mp3,Creation/Change,Knowledge,Accomplishment
1318,humer,to sniff/inhale,french_audio/humer.mp3,Perception,Knowledge,Achievement
1319,rhabiller,to dress again,french_audio/rhabiller.mp3,Bodily Function,Application,Accomplishment
1320,arpenter,to pace/survey,french_audio/arpenter.mp3,Motion/Space,Application,Activity
1321,jacter,to chatter (slang),french_audio/jacter.mp3,Communication,Application,Activity
1322,digérer,to digest,french_audio/digérer.mp3,Bodily Function,Knowledge,Accomplishment
1323,bourdonner,to buzz/hum,french_audio/bourdonner.mp3,Perception,Knowledge,Activity
1324,griffer,to scratch/claw,french_audio/griffer.mp3,Physical Contact,Application,Achievement
1325,intituler,to title/call,french_audio/intituler.mp3,Communication,Knowledge,Achievement
1326,équiper,to equip,french_audio/équiper.mp3,Possession,Application,Accomplishment
1327,résulter,to result,french_audio/résulter.mp3,Existence/State,Analysis,State
1328,retrousser,to roll up/tuck up,french_audio/retrousser.mp3,Physical Contact,Application,Achievement
1329,embrouiller,to muddle/confuse,french_audio/embrouiller.mp3,Cognition,Analysis,Achievement
1330,louper,to miss (slang),french_audio/louper.mp3,Aspectual,Knowledge,Achievement
1331,investir,to invest,french_audio/investir.mp3,Possession,Application,Activity
1332,joncher,to strew/litter,french_audio/joncher.mp3,Physical Contact,Knowledge,State
1333,cingler,to lash/sting,french_audio/cingler.mp3,Physical Contact,Knowledge,Achievement
1334,restituer,to restore/return,french_audio/restituer.mp3,Possession,Application,Achievement
1335,mobiliser,to mobilize,french_audio/mobiliser.mp3,Activity/Social,Application,Achievement
1336,atterrir,to land,french_audio/atterrir.mp3,Motion/Space,Knowledge,Achievement
1337,gaver,to force-feed,french_audio/gaver.mp3,Bodily Function,Application,Accomplishment
1338,défoncer,to smash in/get high,french_audio/défoncer.mp3,Physical Contact,Application,Achievement
1339,advenir,to happen,french_audio/advenir.mp3,Existence/State,Knowledge,Achievement
1340,daigner,to deign,french_audio/daigner.mp3,Emotion/Affect,Evaluation,State
1341,colorer,to color,french_audio/colorer.mp3,Creation/Change,Application,Achievement
1342,pivoter,to pivot,french_audio/pivoter.mp3,Motion/Space,Application,Achievement
1343,compenser,to compensate,french_audio/compenser.mp3,Possession,Analysis,Achievement
1344,rétorquer,to retort,french_audio/rétorquer.mp3,Communication,Application,Activity
1345,mentionner,to mention,french_audio/mentionner.mp3,Communication,Knowledge,Achievement
1346,ponctuer,to punctuate,french_audio/ponctuer.mp3,Communication,Application,Activity
1347,fléchir,to bend/yield,french_audio/fléchir.mp3,Physical Contact,Application,Achievement
1348,rajouter,to add (extra),french_audio/rajouter.mp3,Creation/Change,Application,Achievement
1349,abolir,to abolish,french_audio/abolir.mp3,Activity/Social,Analysis,Achievement
1350,métamorphoser,to metamorphose,french_audio/métamorphoser.mp3,Creation/Change,Synthesis,Accomplishment
1351,restaurer,to restore,french_audio/restaurer.mp3,Creation/Change,Application,Accomplishment
1352,rembourser,to reimburse,french_audio/rembourser.mp3,Possession,Application,Achievement
1353,ravager,to ravage,french_audio/ravager.mp3,Creation/Change,Analysis,Achievement
1354,éplucher,to peel,french_audio/éplucher.mp3,Creation/Change,Application,Activity
1355,trinquer,to clink glasses/suffer,french_audio/trinquer.mp3,Activity/Social,Application,Achievement
1356,réconforter,to comfort,french_audio/réconforter.mp3,Emotion/Affect,Application,Activity
1357,ranimer,to revive,french_audio/ranimer.mp3,Creation/Change,Application,Achievement
1358,accoutumer,to accustom,french_audio/accoutumer.mp3,Cognition,Application,Accomplishment
1359,pouffer,to giggle/burst out,french_audio/pouffer.mp3,Bodily Function,Knowledge,Achievement
1360,obséder,to obsess,french_audio/obséder.mp3,Emotion/Affect,Knowledge,State
1361,flâner,to stroll/loiter,french_audio/flâner.mp3,Motion/Space,Application,Activity
1362,patauger,to paddle/wade,french_audio/patauger.mp3,Motion/Space,Knowledge,Activity
1363,barbouiller,to smear/daub,french_audio/barbouiller.mp3,Physical Contact,Application,Activity
1364,cavaler,to run/dash,french_audio/cavaler.mp3,Motion/Space,Application,Activity
1365,cheminer,to walk along,french_audio/cheminer.mp3,Motion/Space,Application,Activity
1366,conter,to tell (a story),french_audio/conter.mp3,Communication,Application,Activity
1367,doter,to endow/provide (equipment/features/or a dowry.),french_audio/doter.mp3,Possession,Knowledge,Achievement
1368,farder,to make up,french_audio/farder.mp3,Bodily Function,Application,Accomplishment
1369,fier,to trust/rely,french_audio/fier.mp3,Emotion/Affect,Evaluation,State
1370,foudroyer,to strike down,french_audio/foudroyer.mp3,Physical Contact,Knowledge,Achievement
1371,maigrir,to lose weight,french_audio/maigrir.mp3,Bodily Function,Knowledge,Accomplishment
1372,rallumer,to relight,french_audio/rallumer.mp3,Creation/Change,Application,Achievement
1373,ravaler,to swallow back/clean,french_audio/ravaler.mp3,Bodily Function,Application,Achievement
1374,paumer,to lose (slang),french_audio/paumer.mp3,Possession,Knowledge,Achievement
1375,improviser,to improvise,french_audio/improviser.mp3,Creation/Change,Synthesis,Activity
1376,bafouiller,to babbles,french_audio/bafouiller.mp3,Communication,Application,Activity
1377,varier,to vary,french_audio/varier.mp3,Existence/State,Analysis,Activity
1378,alimenter,to feed/supply,french_audio/alimenter.mp3,Bodily Function,Application,Activity
1379,broyer,to grind/crush,french_audio/broyer.mp3,Physical Contact,Application,Accomplishment
1380,ruminer,to ruminate,french_audio/ruminer.mp3,Cognition,Analysis,Activity
